Gene,Weight,Average Expression,Standard Deviation
PROX1,1.431,1.25,0.67
DCX,1.291,1,0.555
BLCAP,0.482,0.625,0.925
KCNIP4,0.479,1.625,1.97
BHLHE22,0.447,0.975,1.291
RPS5,0.414,0.575,0.874
GNAL,0.397,1.05,1.154
NREP,0.395,0.825,1.059
CAMK2N1,0.379,0.575,0.747
NPTXR,0.37,1.6,1.516
EPHA7,0.359,0.6,0.709
ZBTB18,0.337,0.575,0.874
PEG10,0.332,0.725,0.877
NEUROD1,0.325,0.4,0.778
EDIL3,0.319,0.9,0.955
COL25A1,0.316,0.45,0.714
ZFPM2,0.313,0.6,1.033
PGM2L1,0.305,1.175,1.318
CELF5,0.296,0.45,0.815
POSTN,0.294,0.425,0.747
TENM2,0.293,1.3,1.418
GABRB3,0.286,0.875,0.911
RPS19,0.285,1,1.396
LINC01105,0.281,0.15,0.362
SYN2,0.28,0.55,0.749
CXADR,0.279,0.625,0.868
RPS14,0.279,0.9,0.871
SOX11,0.265,0.25,0.494
ASIC2,0.261,0.6,0.841
PCLO,0.257,0.85,0.77
EPHA4,0.256,0.55,0.783
SEZ6L,0.255,0.65,0.834
CNGB1,0.254,0.35,0.483
NRP1,0.248,0.7,0.883
LPPR2,0.242,0.325,0.616
VGLL3,0.242,0.3,0.648
RPS2,0.24,0.6,0.778
ANK3,0.24,1.175,1.083
ST6GALNAC5,0.238,0.525,1.062
DSEL,0.229,0.375,0.54
DLG2,0.228,1.55,1.947
PTPRO,0.22,0.475,0.599
STMN1,0.216,1.05,1.26
PKIA,0.213,0.55,0.639
PPFIA2,0.212,1.25,1.316
KIAA1549L,0.21,0.325,0.694
CXXC5,0.209,0.4,0.591
CREG2,0.209,0.975,1.097
SLC6A7,0.207,0.15,0.362
SEMA5A,0.206,0.4,0.672
MGAT4C,0.201,0.8,1.137
ENC1,0.2,1.5,1.086
NRXN1,0.198,2.625,2.133
LINGO2,0.197,0.375,0.667
C8orf34,0.195,0.45,0.749
RP11-85M11.2,0.194,0.625,0.774
RPL27A,0.193,0.6,0.841
NTRK3,0.184,0.5,0.716
DISP2,0.181,0.2,0.405
CAMKV,0.179,0.475,0.64
ADCY1,0.175,0.45,0.714
TMEM130,0.172,0.35,0.662
CAMK2A,0.172,0.725,0.933
EFNB3,0.171,0.325,0.656
BASP1,0.17,1.225,1.209
SSTR2,0.169,0.4,0.709
DAB1,0.168,0.675,1.023
CRYM,0.151,0.45,0.552
DLGAP1,0.147,0.975,1.291
IGSF3,0.147,0.35,0.77
GNAS,0.146,1.025,0.974
MYT1L,0.142,0.7,0.853
ZMAT4,0.141,0.15,0.362
ATP8A1,0.141,0.375,0.586
PCDH20,0.14,0.4,0.632
HTATSF1,0.128,0.575,0.813
C1QL3,0.128,0.25,0.543
